"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"508","Bruce Hector (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"509","Abdullah Anderson (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"510","Demone Harris (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"511","Genard Avery (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"512","Alex Barrett (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"513","Deadrin Senat (BAL)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"514","Kentavius Street (ATL)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"515","Uchenna Nwosu (SEA)","2","0","0","0","0","0","0","0","1","0.0","0.0","16.4%"
"516","Kemoko Turay (CAR)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"517","Bradley Chubb (MIA)","1","0","0","0","0","0","0","0","1","0.0","0.0","16.7%"
"518","Marcus Davenport (DET)","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"519","Harold Landry III (TEN)","1","1","0","0","0","0","0","0","1","0.0","0.0","23.2%"
"520","Lorenzo Carter (ATL)","1","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"521","Poona Ford (LAC)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"522","Eli Ankou (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"523","Matt Nelson (NYG)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"524","Kevin Givens (SF)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"525","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"526","Byron Cowart (CHI)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"527","Anthony Pittman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"528","Isaiah Mack (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"529","Javon Kinlaw (NYJ)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"530","Julian Okwara (PHI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"531","Neville Gallimore (MIA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"532","Mathieu Betts (DET)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"533","Jachai Polite (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"534","Raekwon Davis (IND)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"535","Oshane Ximines (NE)","1","1","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"536","Charles Omenihu (KC)","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"537","Armon Watts (NE)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"538","Rashan Gary (GB)","3","0","3","0","0","0","0","0","1","0.0","0.0","10.2%"
"539","Nick Thurman (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"540","Austin Bryant (SF)","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"541","Trysten Hill (NE)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"542","Andrew Van Ginkel (MIN)","2","1","0","0","0","0","1","0","1","0.0","0.0","10.4%"
"543","L.J. Collier (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"544","Justin Hollins (FA)","0","2","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"545","Efe Obada (WAS)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"546","T.Y. McGill Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"547","Sheldon Rankins (CIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"548","Dean Lowry (PIT)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"549","Shaq Lawson (FA)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"550","Leonard Floyd (SF)","2","1","2","0","0","0","0","0","1","0.0","0.0","4.8%"
"551","Preston Smith (GB)","0","1","0","0","0","0","0","0","1","0.0","0.0","9.9%"
"552","Dante Fowler Jr. (WAS)","0","0","0","0","0","0","0","0","1","0.0","0.0","3.3%"
"553","Carl Davis Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"554","Mario Edwards Jr. (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"555","Markus Golden (FA)","1","1","1","0","0","0","0","0","1","0.0","0.0","0.4%"
"556","Za'Darius Smith (CLE)","0","2","0","0","0","0","0","0","1","0.0","0.0","4.9%"
"557","Bud Dupree (LAC)","2","0","0","1","0","0","0","0","1","0.0","0.0","1.1%"
"558","Arik Armstead (JAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","3.0%"
"559","Randy Gregory (TB)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"560","Eddie Goldman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"561","Angelo Blackson (DEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"562","Matthew Judon (NE)","2","3","2","0","0","0","0","0","1","0.0","0.0","17.0%"
"563","T.J. Watt (PIT)","2","0","2","0","0","0","0","0","1","0.0","0.0","79.0%"
