"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"305","Payton Wilson (PIT)","0","0","0","0","0","0","0","0","0","0","0","11.7%"
"306","Chris Braswell (TB)","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"307","Ty'Ron Hopper (GB)","0","0","0","0","0","0","0","0","0","0","0","3.7%"
"308","Jaylan Ford (NO)","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"309","Marist Liufau (DAL)","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"310","Javon Solomon (BUF)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"311","Tyrus Wheat (DAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"312","Thomas Incoom (DEN)","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"313","Otis Reese IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"314","Drake Thomas (SEA)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"315","Tyler Murray (PIT)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"316","Isaiah Land (IND)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Edgerrin Cooper (GB)","0","0","0","0","0","0","0","0","0","0","0","17.4%"
"318","Caleb Johnson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Dallas Turner (MIN)","0","0","0","0","0","0","0","0","0","0","0","15.4%"
"320","Junior Colson (LAC)","0","0","0","0","0","0","0","0","0","0","0","16.4%"
"321","Zaven Collins (ARI)","0","0","0","0","0","0","0","0","0","0","0","5.1%"
"322","Chazz Surratt (NYJ)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"323","Odafe Oweh (BAL)","1","0","0","0","0","0","0","0","1","0.0","0.0","5.6%"
"324","Ade Ogundeji (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Henry To'oTo'o (HOU)","0","0","0","0","0","0","0","0","1","0.0","0.0","6.9%"
"326","Chad Muma (JAC)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"327","Josh Ross (BAL)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"328","Tyreke Smith (ARI)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"329","Nik Bonitto (DEN)","1","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"330","Channing Tindall (MIA)","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"331","Quay Walker (GB)","0","0","0","0","0","0","0","0","0","0","0","37.1%"
"332","Byron Young (LV)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"333","Brian Asamoah II (MIN)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"334","Amare Barno (CAR)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"335","Malcolm Rodriguez (DET)","0","0","0","0","0","0","0","0","1","0.0","0.0","2.7%"
"336","Boye Mafe (SEA)","3","0","0","0","0","0","0","0","1","0.0","0.0","8.2%"
"337","Travon Walker (JAC)","1","1","0","0","0","0","0","0","1","0.0","0.0","11.2%"
"338","Arnold Ebiketie (ATL)","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"339","David Ojabo (BAL)","0","0","0","0","0","0","0","0","0","0","0","3.1%"
"340","Nakobe Dean (PHI)","0","0","0","0","0","0","0","0","0","0","0","7.8%"
"341","Darrian Beavers (NYG)","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"342","JoJo Domann (TEN)","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"343","Olakunle Fatukasi (LAR)","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"344","Amari Burney (LV)","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"345","Luke Masterson (LV)","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"346","SirVocea Dennis (TB)","0","0","0","0","0","0","0","0","1","0.0","0.0","4.0%"
