leagueFK,seasonFK,weekStart,weekEnd,week,playerFK,PlayerPositionFK,playerTeamFK,playerStatusFK,GamesPlayed,ForcedFumbles,FumblesRecovered,FumblesTouchdowns,Completions,PassingAttempts,CompletionPercentage,PassingYards,YardsPerPassAttempt,PassingYardsPerGame,LongestPass,PassingTouchdowns,Interceptions,TotalSacks,SackYardsLost,TotalQBR,PasserRating,AdjustedQBR,RushingAttempts,RushingYards,YardsPerRushAttempt,LongRushing,Yards20PlusRushingPlays,RushingTouchdowns,RushingYardsPerGame,RushingFumbles,RushingFumblesLost,Rushing1stDowns,Receptions,ReceivingTargets,ReceivingYards,YardsPerReception,ReceivingTouchdowns,LongReception,Yards20PlusReceivingPlays,ReceivingYardsPerGame,ReceivingFumbles,ReceivingFumblesLost,ReceivingYardsAfterCatch,ReceivingFirstDowns,SoloTackles,AssistTackles,TotalTackles,Sacks,SackYards,TacklesForLoss,PassesDefended,LongInterception,InterceptionsDefense,InterceptionYards,InterceptionTouchdowns,RushingTouchdowns_duplicate,ReceivingTouchdowns_duplicate,ReturnTouchdowns,TotalTouchdowns,FieldGoals,KickExtraPoints,TotalTwoPointConversions,TotalPoints,TotalPointsPerGame,KickReturns,KickReturnYards,YardsPerKickReturn,LongKickReturn,KickReturnTouchdowns,PuntReturns,PuntReturnYards,YardsPerPuntReturn,LongPuntReturn,PuntReturnTouchdowns,PuntReturnFairCatches,FieldGoalMade,FieldGoalAttempts,FieldGoalPercentage,LongFieldGoalMade,FieldGoalsMade1_19,FieldGoalsMade20_29,FieldGoalsMade30_39,FieldGoalsMade40_49,FieldGoalsMade50Plus,FieldGoalAttempts1_19,FieldGoalAttempts20_29,FieldGoalAttempts30_39,FieldGoalAttempts40_49,FieldGoalAttempts50Plus,ExtraPointsMade,ExtraPointAttempts,ExtraPointPercentage,Punts,PuntYards,LongPunt,GrossAveragePuntYards,NetAveragePuntYards,PuntsBlocked,PuntsInside20,Touchbacks,FairCatches,PuntsReturned,PuntsReturnedYards,AveragePuntReturnYards,row_hash
28,2,2023-11-29,2023-12-06,Week 13,4036133,7,16,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c922e4c6028aea1109465a8c04799007
28,2,2023-11-29,2023-12-06,Week 13,4241478,1,21,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fdb7f427f735f80a245b431eee7dd2b0
28,2,2023-11-29,2023-12-06,Week 13,4242335,9,11,1,7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,5,0,0,0,30,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08928a71192dff43826090c30c297d0d
28,2,2023-11-29,2023-12-06,Week 13,4242355,7,6,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3bd30b0bda814780494d42d233218675
28,2,2023-11-29,2023-12-06,Week 13,4248911,29,6,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,5,0,0,0,30,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94b8a3e44d7151b86bf06fca090d6043
28,2,2023-11-29,2023-12-06,Week 13,4258173,1,34,1,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ae46a0f6799b8df64842cf8a4851c18b
28,2,2023-11-29,2023-12-06,Week 13,4258595,7,3,1,12,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,acf0261da95b4926a0c5f91ed86ab2e1
28,2,2023-11-29,2023-12-06,Week 13,4259545,9,21,1,11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,5,0,0,0,30,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,afd97673859d818261e57194dbdd04e2
28,2,2023-11-29,2023-12-06,Week 13,4360438,1,25,1,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daecafb270a5254a01208ba829aa6674
28,2,2023-11-29,2023-12-06,Week 13,4374302,1,8,1,10,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,5,0,0,0,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c70c6ddb876c3f31bd9554f93a195291
