id,uid,guid,sport,firstName,lastName
16813,s:20~l:28~a:16813,107276cf-1865-c106-aa0c-0f12f8f99a82,football,Logan,Thomas
16831,s:20~l:28~a:16831,cb410f4a-b269-8466-2586-2a67f21b9521,football,Brent,Urban
16837,s:20~l:28~a:16837,b02d0fd9-27af-e28f-6a39-736a008b624a,football,Shelby,Harris
16910,s:20~l:28~a:16910,8bce7093-0709-5622-200f-6361ae57d283,football,DaQuan,Jones
16967,s:20~l:28~a:16967,8ce9c242-2bf8-eb65-4101-c278e00b0d61,football,Shaquil,Barrett
17068,s:20~l:28~a:17068,a167f86d-689d-d005-970a-2291e0ac3cac,football,Kerry,Hyder Jr.
17178,s:20~l:28~a:17178,e47ecb88-b2b8-674d-e306-4326a37175f6,football,James,Hurst
17196,s:20~l:28~a:17196,ca02c5db-d5e0-d49d-811b-aa70475d5056,football,Tyler,Larsen
17230,s:20~l:28~a:17230,6c2e66d7-8949-a539-553d-0e7daab77abc,football,Mike,Pennel Jr.
17258,s:20~l:28~a:17258,948e2a8b-12dc-3ef4-e732-b6f1710af00c,football,Willie,Snead IV
17304,s:20~l:28~a:17304,48cc75f5-5e89-9b6e-ca9a-3dbdf8436bbf,football,Casey,Kreiter
17315,s:20~l:28~a:17315,cf0b229c-2fcd-a9ff-8a84-07bc44a9e2ac,football,Keith,Smith
17359,s:20~l:28~a:17359,9d01c5ed-50f8-7739-a848-dbfedaaaeb9b,football,Damien,Williams
17372,s:20~l:28~a:17372,8ad36dbe-d0e6-9493-9684-926df627f249,football,Chris,Boswell
17378,s:20~l:28~a:17378,132ab06f-9e31-afe2-0dd8-7ccf8cd2aaf8,football,Tyler,Ott
17404,s:20~l:28~a:17404,519e60cc-929e-91bc-4e1c-a40241436062,football,Matt,Feiler
17427,s:20~l:28~a:17427,a553e934-7317-cf85-1a72-08644f847e3c,football,Cairo,Santos
17447,s:20~l:28~a:17447,eac3bad7-3523-2749-0abb-e146d0949b4f,football,Denico,Autry
17474,s:20~l:28~a:17474,a7da222a-10ca-bbce-8517-aa723eb98f26,football,C.J.,Goodwin
17487,s:20~l:28~a:17487,c0a38d01-e53c-4da6-a665-349c2d226b82,football,Adrian,Phillips
2317118,s:20~l:28~a:2317118,88c8ad9c-2c3d-ebe5-49a2-881977720f75,football,Nick,Williams
2468609,s:20~l:28~a:2468609,b4348fe9-fd28-0531-ad90-dbc8d5e0d11e,football,Taysom,Hill
2473037,s:20~l:28~a:2473037,dc17867a-4ddb-55c3-94b2-0f52e4d7bfc9,football,Jason,Myers
2508256,s:20~l:28~a:2508256,8826f449-ecc2-480c-d168-d74949fb2f16,football,MyCole,Pruitt
2510863,s:20~l:28~a:2510863,f27bfa4a-ac7b-be13-722f-a944dc61fa5f,football,Eric,Kendricks
2511109,s:20~l:28~a:2511109,4dae14bf-5100-094c-87f7-4ec55519c08f,football,Trevor,Siemian
2511690,s:20~l:28~a:2511690,b3e59e20-bc99-483f-c455-1f417ef76cc6,football,Carl,Davis Jr.
